date,regime_most_likely,regime_prob_0,regime_prob_1,regime_prob_2,regime_raw
2013-06-12,0,0.561054940109345,0.08935555662895463,0.34958950326141836,0
2013-06-13,0,0.2551458739038788,0.6646784005148849,0.08017572558099628,1
2013-06-14,0,0.7831363635146984,0.18358327053108753,0.03328036595377412,0
2013-06-17,1,0.2256165124227692,0.7385372990716609,0.03584618850556408,1
2013-06-18,0,0.7785463907419923,0.19659392188409688,0.024859687374721225,0
2013-06-19,1,0.1102558609845883,0.8690403505176489,0.0207037884971303,1
2013-06-20,0,0.0006826641115408327,0.0009616964073440472,0.9983556394819444,2
2013-06-21,2,2.0920154235211597e-06,0.00010090566074022476,0.999897002322993,2
2013-06-24,2,1.579582425870171e-05,0.00019039018355689494,0.9997938139920739,2
2013-06-25,2,0.00010128331844277855,0.0009198895734464816,0.9989788271074626,2
2013-06-26,2,0.5838364625658984,0.06350315054683998,0.3526603868875932,0
2013-06-27,0,0.18318095264901843,0.5805849252776534,0.23623412207503838,1
2013-06-28,0,0.469404828902636,0.1481758306593014,0.3824193404395229,0
2013-07-01,1,0.00030341440406640095,0.9996719144044155,2.467119156665769e-05,1
2013-07-02,1,0.0005647691000679895,0.9994245302296004,1.0700669851230459e-05,1
2013-07-03,1,1.2525649617147738e-05,0.9998974370586103,9.003729185712352e-05,1
2013-07-04,1,0.000683833449435818,0.9992882905882344,2.7875962799430212e-05,1
